perceptron,learning_rate,epochs,k,average_training_mse,average_testing_mse,stdev_testing_mse
tanh,0.001,100000,28,1.5827412866510262,197.79782889235503,263.6233435155103
tanh,0.0001,100000,28,1.5720207123851198,197.6907990870703,263.43899227525725
tanh,1e-05,100000,28,3.200742268858172,196.1462132747703,276.3559645749664
tanh,0.001,100000,14,1.5565089334499211,195.80487973607245,216.74582165186027
tanh,0.001,5000,28,1.5831253184433076,197.77875504562766,263.9603524497432
tanh,0.001,100,28,259.81228123925035,430.8556467915091,651.3195368865298
tanh,0.001,1000,28,4.4572103773949845,214.63921073438274,317.4953250778096
tanh,0.001,25000,7,1.5103965653562899,191.03720774053872,122.88039786617412
tanh,0.001,25000,2,0.9462149441853698,208.28219259571125,95.43682578699779
sigmoid,0.001,50000,2,1.8921383186064875,23.73279771651481,32.93279265188326
sigmoid,0.001,50000,7,1.1670271294863903,4.226512618641701,9.31875431671662
sigmoid,0.001,50000,14,1.0546937541633623,3.8987937893489417,12.593946702761231
sigmoid,0.001,50000,28,0.9921168558305569,3.8469908453044606,17.842497695023894
sigmoid,0.001,10000,28,4.230877568804453,9.083108654181034,21.274049876270176
sigmoid,0.001,5000,28,14.246007102393628,24.723139577306,35.49229199961939
sigmoid,0.0001,50000,28,15.24542525460148,26.45903942689497,42.40854599054474
sigmoid,1e-05,100000,28,97.74155429567487,156.9224438565663,251.01100837096575
