perceptron,learning_rate,best_epoch,min_error
linear,1e-05,103212,40.904528131948645
linear,0.0001,7954,40.982959664391196
linear,1e-06,1268219,40.89669593692596
linear,0.001,554,41.778139760862324
linear,0.01,28,50.565365695267495
sigmoid,0.01,10253,0.9320630519380739
sigmoid,0.001,128661,0.9310229505425544
sigmoid,0.0001,1000000,0.9309191486345094
tanh,0.01,2975,1.717341076342256
tanh,0.001,28437,1.6021465410849494
tanh,0.0001,243993,1.5912325802934344
tanh,1e-05,2391768,1.5901470294430446
tanh,1e-06,5000000,1.590213098459928
sigmoid,1e-06,5000000,16.650155228965243
sigmoid,1e-05,10000000,0.9309087736450816
sigmoid,1e-06,20000000,0.9309079886345094
tanh,0.001,27653,1.6021465410849491
tanh,0.001,28574,1.6021465410849491
tanh,0.01,4574,0.9429304425079049
tanh,0.01,5641,0.9427661038290579
tanh,0.001,62624,0.9326799148539113
tanh,0.0001,79936,0.9310915111910337
tanh,1e-05,100000,2.0343511549676454
tanh,0.001,51513,0.9326735168801871
tanh,1e-05,100000,1.4646894643189323
tanh,1e-06,100000,75.8422345372951
sigmoid,1e-06,100000,931.0263225882493
sigmoid,1e-05,100000,187.79060767996242
linear,1e-05,98595,40.90452265130926
linear,1e-06,100000,45.75026784705061
